domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
thecodebytes.com,thecodebytes • Keeping Code Cool Since 2020,,,72,15148,2026-08-26T12:30:00.634986872Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apache', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'EmbedPress', 'Express', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Medium', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'PHP', 'Python', 'QUIC', 'Rakuten Affiliate', 'Svelte', 'Theme In WP', 'UTF-8', 'Ubuntu', 'University or College', 'WordPress', 'WordPress Multisite']"
connectoverseasimmigration.com,Home - Connect Overseas Immigration,connectoverseasimmigration.com,CAN,87,21278,2026-08-26T12:13:32.031865892Z,"['Alternate Protocol', 'Astra Theme', 'Automattic', 'Cloudflare', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Express', 'Fireblade', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Customer Reviews', 'Google Font API', 'Google Forms', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Header, Footer and Blocks for Elementor', 'Instagram Follow Button', 'Jetpack', 'LiteSpeed', 'Medium', 'Microdata for Google Shopping', 'MonsterInsights', 'NFOrce Internet', 'PHP', 'Square', 'Theme In WP', 'UTF-8', 'University or College', 'WPForms', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'WordPress Stats', 'YouTube', 'jQuery']"
greysis.com,Greysis | Custom Software Development & DevOps,Greysis,TUR,87,20000,2026-08-26T11:52:23.169088862Z,"['Content Delivery Network', 'GitHub Hosting', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'M247', 'Medium', 'Microdata for Google Shopping', 'Next.js', 'Tailwind CSS', 'Twitter Ads', 'shadcn ui']"
jtvhk.com,James Hill-Khurana,,CAN,42,5000,2026-08-26T11:29:24.745481755Z,"['Content Delivery Network', 'Medium', 'Twitter Ads', 'UTF-8', 'University or College', 'Vercel', 'Waveform Technology']"
heathcliffsaunders.com,Heath Saunders — THE SAUNDERS COLLECTIVE,,USA,87,16333,2026-08-26T11:00:26.50603286Z,"['Adobe Creative Cloud WebFonts', 'Aruba', 'Express', 'Fireblade', 'GZIP Module', 'Instagram Follow Button', 'Line2', 'Medium', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'Twitter Ads', 'Twitter CDN', 'UTF-8', 'University or College', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'eLand']"
mills.land,Millsland,,USA,72,14840,2026-08-26T11:00:26.50548155Z,"['BLR', 'Content Delivery Network', 'DAV', 'Fastly', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Cloud DNS', 'Google Font API', 'Medium', 'Tumblr', 'UTF-8']"
times-herald.net,Joe DeRouen – Author of the Small Things Trilogy,,GBR,70,3412,2026-08-26T10:11:56.850407495Z,"['Alternate Protocol', 'Amazon Widgets', 'Automattic', 'Colibri', 'Contact Form Plugin', 'EmbedPress', 'Font Awesome', 'FreeCSSTemplates', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'IcoMoon', 'Jetpack', 'Jetpack Site Accelerator', 'Linktree', 'MailChimp', 'MailChimp for WordPress', 'MailMunch', 'Medium', 'Nginx', 'PHP', 'Perl', 'Photo Gallery by FooGallery', 'Pleroma', 'TablePress', 'Twitter Ads', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube', 'jQuery', 'reCAPTCHA', 'shadcn ui']"
lucent.to,Lucent Profile URLs | lucent.link,,,72,13904,2026-08-26T09:05:57.991782469Z,"['1Password', 'Atlassian Bitbucket', 'Automattic', 'BLR', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Crypto.com', 'Discord', 'Disqus Comment System for WordPress', 'Fastly', 'GZIP Module', 'GitHub Hosting', 'Instagram Follow Button', 'Jekyll', 'Kinja', 'Medium', 'Microdata for Google Shopping', 'Telegram', 'Trello', 'Tumblr', 'Twitter Ads', 'UTF-8', 'Vine Embed', 'Yelp Badge', 'YouTube', 'about.me', 'jsDelivr']"
bookreviewonline.co.uk,Books – Happy Families,,GBR,65,28037,2026-08-26T08:54:19.814079842Z,"['AWS WAF Challenge', 'Adult Content', 'Alternate Protocol', 'BLR', 'Content Delivery Network', 'Discord', 'EmbedPress', 'GitHub Hosting', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'IcoMoon', 'Instagram Follow Button', 'LiteSpeed', 'Medium', 'PHP', 'Pagekit', 'Smush Image Optimization', 'Telegram', 'Theme In WP', 'Tumblr', 'Twitter Ads', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'xMag Theme']"
coefficient.ml,Coefficient,Coefficient Systems Ltd,GBR,65,5947,2026-08-26T08:00:35.497125718Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Aruba', 'Express', 'Font Awesome', 'FormSubmit', 'GZIP Module', 'GitHub Hosting', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Medium', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'Python', 'QUIC', 'SiteW', 'Squarespace', 'Twitter Ads', 'UTF-8', 'University or College', 'WordPress SEO Structured Data Schema Plugin', 'Workable', 'YouTube', 'eLand']"
