domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
privatemauichef.com,PRIVATE MAUI CHEF – A CULINARY COLLECTIVE,,USA,70,39089,2026-09-04T11:24:27.096942865Z,"['Alternate Protocol', 'Cloudflare', 'CoBlocks', 'Content Delivery Network', 'ContentBox', 'DAV', 'EmbedPress', 'Font Awesome', 'GoDaddy', 'Google Analytics', 'Google Customer Reviews', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'MailChimp for WordPress', 'Monster', 'MonsterInsights', 'OptinMonster', 'PHP', 'Tailwind CSS', 'The Fresh', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'eLand', 'jQuery']"
luceyaccounting.com,Lucey Accounting Services,"Lucey Accounting Services, PLLC.",GBR,92,49865,2026-09-04T08:50:28.348128393Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Anti-spam for WordPress', 'Azion', 'CleanTalk Spam Protect', 'Cloudflare', 'Content Delivery Network', 'Contento', 'EmbedPress', 'Fireblade', 'Formidable Pro Form', 'GoDaddy', 'Google Cloud DNS', 'Google Font API', 'Microdata for Google Shopping', 'Monster', 'OptinMonster', 'PHP', 'Perl', 'QUIC', 'Responsive Lightbox', 'Schema Plugin', 'SiteOrigin', 'SiteOrigin Panels', 'Smart Slider 3', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Vantage', 'WP Lightbox 2', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery']"
tiagopx.com,Tiago Peixoto – WordPress Designer and Developer,,BRA,65,1842090,2026-09-04T07:23:13.664428855Z,"['33 Across Direct', 'AB Tasty', 'ADFOX', 'AWS WAF Challenge', 'Active Campaign', 'AdRoll', 'AddThis for Wordpress', 'Adform Direct', 'Adobe Analytics', 'Adobe Marketing Cloud', 'Adpushup', 'Agoda', 'Aimtell', 'Akamai Global Host', 'Alibaba Cloud CDN', 'Alternate Protocol', 'Amazon Associates Affiliate Shop', 'Amazon CloudFront', 'Amazon WAF Blocked', 'Amped', 'Amplitude', 'Analytify', 'AnyChat', 'AppNexus Direct', 'Apture Linking Platform', 'Automattic', 'BLR', 'Baidu Ads', 'Baidu Analytics', 'Baidu Cloud', 'Band Camp', 'Bazaarvoice', 'Bazaarvoice Curations', 'BidSwitch Direct', 'Bing Cashback', 'Bing Conversion Tracking', 'Birdeye', 'Brevo', 'Brightcove', 'ByteDance', 'Calendly', 'Camp', 'Chartbeat', 'Chatra', 'Clicky', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Stream', 'Cloudflare Turnstile', 'Cloudflare Web Analytics', 'Cognito Forms', 'Connatix Reseller', 'Constant Contact', 'Content Delivery Network', 'Content Square', 'Convert', 'ConvertKit', 'Cookie First', 'CookieYes', 'Countly', 'CrazyEgg', 'Crisp', 'Criteo', 'Criteo Reseller', 'Crowdsignal', 'Customer.io', 'Cybot', 'DailyMotion Video', 'Dailymotion Reseller', 'Decibel Insight', 'DemDex', 'Didomi', 'Disqus Comment System for WordPress', 'DoubleClick Bid Manager', 'Drift', 'Drip', 'Dynamic Yield', 'Eber', 'Elegant Themes', 'Elementor', 'Eloqua', 'EmbedPress', 'Engage', 'Ensighten', 'Enzuzo', 'ExactTarget', 'Ezoic Direct', 'Ezoic Publisher', 'Facebook Embedded Posts', 'Facebook Pixel', 'Facebook Reseller', 'Feefo', 'Fomo', 'Font Awesome', 'Fonts.com', 'Formstack', 'Freshdesk Support', 'Freshpaint', 'Freshworks Bot', 'FullStory', 'GetGist', 'GetResponse', 'GetSiteControl', 'Giphy', 'Global Privacy Control', 'GoatCounter', 'Google', 'Google Adsense', 'Google Analytics', 'Google Calendar', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Flights Conversion Tracking', 'Google Font API', 'Google Funding Choices', 'Google Maps', 'Google Matched Content', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Gorgias', 'GumGum', 'GumGum Direct', 'Heap', 'Hello Bar', 'Help Scout', 'HelpCrunch', 'Hotjar', 'Hub Theme', 'HubSpot Conversations', 'Hubspot', 'Infolinks', 'Inspectlet', 'Instagram Follow Button', 'Intercom', 'IponWeb BidSwitch', 'Iterable', 'Iubenda', 'JW Player Platform', 'Jetpack', 'JivoSite', 'JotForm', 'Kakao', 'Kaltura', 'Kameleoon', 'Kampyle Analytics', 'Klaviyo', 'Lazy Load for WordPress', 'Leadfeeder', 'Lijit Reseller', 'Line2', 'LinkedIn Insights', 'LiteSpeed', 'LiveChat', 'LiveChat Monitoring', 'LiveRamp', 'MGID', 'MGID Reseller', 'MailChimp', 'MailerLite', 'Mailjet Widget', 'Marketo', 'Matomo', 'Mautic', 'Media.net', 'Media.net Reseller', 'Mediavine Publisher', 'Microdata for Google Shopping', 'Microsoft Azure Blob Storage', 'Microsoft Clarity', 'Mixpanel', 'Monetate', 'Monster', 'Monumetric Publisher', 'Mouseflow', 'New Relic', 'Ntent', 'Nudgify', 'OSS CDN', 'Okendo', 'Olark', 'OmniConvert', 'Omnisend', 'OneTrust Domain Verification', 'Ontraport', 'OpenX Direct', 'Optimizely Recommendations', 'OptinMonster', 'Outbrain Direct', 'Paperform', 'Pardot', 'Parse.ly', 'PayPal', 'PayPal Adaptive Payments', 'Pendo', 'Personyze', 'Pinterest Conversion Tracking', 'Pirsch', 'Piwik PRO', 'Plausible Analytics', 'Podium', 'PollDaddy', 'PubMatic Direct', 'Pubmatic', 'PushAlert', 'PushEngage', 'QUIC', 'QUIC.cloud', 'Qualtrics Site Intercept', 'Quantcast Direct', 'Quantum Metric', 'RM Education', 'RTB House Direct', 'Reamaze', 'Revcontent Reseller', 'ReviewsOnMyWebsite', 'Rumble Player', 'ScarabResearch', 'Schema Plugin', 'Seflow Italy', 'Segment', 'Segment Consent Manager', 'SendPulse', 'Sentry', 'ShareThis', 'Shopper Approved', 'Simple Analytics', 'SiteW', 'SiteWit', 'SmartAdServer Direct', 'SmartSupp', 'SnapEngage', 'Sourcepoint', 'SproutVideo', 'Stamped', 'StatCounter', 'Streamable', 'Stripe', 'Sumo', 'Swell Rewards', 'Taboola Direct', 'Taboola Reseller', 'Tally', 'Tealium', 'Telegram', 'The Trade Desk Direct', 'Thrive Direct', 'TikTok Conversion Tracking Pixel', 'Triple Lift Direct', 'TrustPulse', 'Tumblr', 'Twitch', 'Twitter Ads', 'Twitter Analytics', 'Typeform', 'UK Cookie Consent', 'UTF-8', 'Vercel', 'Vimeo', 'Vimeo CDN', 'Vine Embed', 'Visual Website Optimizer', 'Webpushr', 'Wistia', 'Woo Themes', 'Woopra', 'WordPress', 'WordPress Multisite', 'Wufoo', 'Yahoo Image CDN', 'Yahoo Web Analytics', 'Yandex Hosting', 'Yieldmo Direct', 'Yotpo', 'YouTube', 'Zendesk Embeddables', 'Zoho SalesIQ', 'arsys.es', 'comScore', 'eKomi', 'iZooto', 'jsDelivr', 'mParticle', 'reCAPTCHA']"
demycolton.com,Home - The Center for Advancing Innovation,The Center for Advancing Innovation,USA,70,32303,2026-09-04T03:07:00.433597087Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'Content Delivery Network', 'EmbedPress', 'Fancybox for WordPress', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Forms', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Monster', 'MonsterInsights', 'Newsletter for Wordpress', 'Nginx', 'OptinMonster', 'PHP', 'QUIC', 'RM Education', 'Sitelinks Search Box', 'TablePress', 'Tailwind CSS', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WP Engine', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
rocketbracket.com,Home | Rocket Bracket Industries,Rocket Bracket Industries,,65,28810,2026-09-03T22:03:37.606630647Z,"['Alternate Protocol', 'Cloudflare', 'Complianz', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'FreeCSSTemplates', 'GoDaddy', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Line2', 'Microdata for Google Shopping', 'Monster', 'NFOrce Internet', 'Newsletter for Wordpress', 'OceanWP', 'OptinMonster', 'PHP', 'QUIC', 'Site Reviews for Wordpress', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'WP Mobile Menu', 'WPForms', 'Wangsu', 'Website Tonight', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'YouTube', 'eLand', 'jQuery']"
grandcanyonwhitewater.com,Grand Canyon River Rafting| Grand Canyon Whitewater,Grand Canyon Whitewater,FRA,92,29973,2026-09-03T21:21:31.857930032Z,"['AWS WAF Challenge', 'Active Campaign', 'Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'DAV', 'EmbedPress', 'Express', 'Font Awesome', 'FooBox', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Microdata for Google Shopping', 'Monster', 'Ntent', 'OptinMonster', 'PHP', 'Photo Gallery by FooGallery', 'Pleroma', 'QUIC', 'Schema Plugin', 'Site Kit', 'StudioPress', 'Theme In WP', 'UTF-8', 'University or College', 'UserWay', 'WP Engine', 'WPFront Notification Bar', 'WordPress', 'WordPress Multisite', 'Yandex Hosting', 'YouTube', 'jQuery']"
palmisland.com,Best Family Beach Resort in Florida,Palm Island Resort,PHL,82,44239,2026-09-03T17:42:14.371304007Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Anti-spam for WordPress', 'AutoComplete', 'Better Lead Generation Services', 'CleanTalk Spam Protect', 'ClickCease', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'Content Delivery Network', 'Drip', 'DuracellTomi Google Tag Manager for WordPress', 'EmbedPress', 'Fireblade', 'Font Awesome', 'Google Analytics', 'Google Cloud DNS', 'Google Conversion Tracking', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Monster', 'MonsterInsights', 'OptinMonster', 'PHP', 'QUIC', 'Slider Revolution', 'The Events Calendar', 'Theme In WP', 'ThemeFusion', 'UTF-8', 'Vue.js', 'WP Accessibility', 'WP Engine', 'WP jQuery Lightbox', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
baseline-mocon.com,Gas Measurement Instruments & Testing Services | AMETEK MOCON,,USA,72,652099,2026-09-03T17:15:36.494059453Z,"['AddThis for Wordpress', 'Akamai Global Host', 'Amazon', 'Azure Edge', 'Baidu Ads', 'Baidu Analytics', 'Baidu Cloud', 'Bing Cashback', 'Bing Conversion Tracking', 'BrightInfo', 'Brightcove', 'CDN JS', 'ChowNow', 'Cisco/Arrowpoint Content Service Switch', 'ClickDimensions', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Crowdsignal', 'DAV', 'DoubleClick Bid Manager', 'Drift', 'Ethy', 'Express', 'Facebook Reseller', 'Financial Services Guide', 'Fireblade', 'Font Awesome', 'GZIP Module', 'GoDaddy', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Hexo', 'IcoMoon', 'K2F', 'KVH', 'LiveAgent', 'MailChimp', 'Microsoft Azure', 'Monster', 'No-Q', 'OneTrust Domain Verification', 'OptinMonster', 'Pardot', 'Perl', 'Salesforce', 'Salesforce Experience Cloud', 'Salesforce Hosted', 'Salesforce Live Agent', 'Sentry', 'Shopware', 'Sitecore CMS', 'ThomasNet Web Traxs', 'Twitter Ads', 'Twitter CDN', 'UTF-8', 'Vimeo', 'Visual Studio', 'Wistia', 'YouTube', 'jsDelivr']"
wetnetoutfitters.com,"Livingston Fly Fishing Guides, Montana | Wet Net Outfitters",,USA,92,46122,2026-09-03T16:53:43.502555263Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Turnstile', 'Content Delivery Network', 'Divi', 'Elegant Themes', 'EmbedPress', 'FooBox', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Hatch', 'Kinsta', 'Microdata for Google Shopping', 'Monster', 'OptinMonster', 'PHP', 'Photo Gallery by FooGallery', 'Theme In WP', 'TrustIndex', 'UTF-8', 'WP Engine', 'WPForms', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery', 'reCAPTCHA']"
ncadd-middlesex.com,Wellspring Center for Prevention | Prevention & Intervention Services,Wellspring Center for Prevention,,72,76584,2026-09-03T13:55:16.392665181Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Cloudflare', 'Content Delivery Network', 'EmbedPress', 'Font Awesome', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Impact', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Monster', 'OptinMonster', 'PHP', 'SMC', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WP Engine', 'Widget Options', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
