domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
themakerspace.co.za,Home - The MakerSpace,The MakerSpace,ZAF,82,4311,2026-05-31T12:05:49.731715916Z,"['Alternate Protocol', 'Apache', 'Auth0', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'EmbedPress', 'Events Manager for WordPress', 'Express', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Instagram Follow Button', 'Jetpack', 'Microdata for Google Shopping', 'Ntent', 'PHP', 'Photo Gallery for WordPress', 'QUIC', 'Schema Plugin', 'ShareThis', 'Slider Revolution', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'WPBakery', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'reCAPTCHA']"
landrover.com.cy,Land Rover | Explore Luxury SUVs and 4x4 Vehicles | Land Rover Cyprus,Land Rover Cyprus,GBR,92,19522,2026-05-31T05:26:45.392411429Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Audi AG', 'Auth0', 'Cookie Information', 'Duoban', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'IcoMoon', 'Instagram Follow Button', 'NFOrce Internet', 'Nuxt.js', 'QUIC', 'Render', 'UTF-8', 'YouTube', 'eLand']"
adventuregenierouteguide.info,Best RV & Road AI Trip Planner | 25000+ Campgrounds | AdventureGenie,,USA,72,5500,2026-05-30T17:32:23.798703489Z,"['AJAX Libraries API', 'Auth0', 'Bulma', 'ElementUI', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Harbor', 'Instagram Follow Button', 'QUIC', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'YouTube', 'jQuery', 'reCAPTCHA', 'shadcn ui']"
cognilens.ai,CogniLens — Predictive Regulatory Intelligence Platform,,DEU,62,17280,2026-05-30T12:00:47.774658066Z,"['Auth0', 'Calendly', 'Content Delivery Network', 'Fireblade', 'Netlify', 'Tailwind CSS', 'UTF-8']"
prosocial.world,ProSocial World | Consciously evolve a world that works for all,,,62,119568,2026-05-30T08:46:53.73208769Z,"['AJAX Libraries API', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Animate It', 'Auth0', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly', 'Flow', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'InitiativeS', 'Intellimize', 'Tailwind CSS', 'UTF-8', 'WF Cookie Consent', 'YouTube', 'jsDelivr']"
sleepinggiantappraisals.com,Sleeping Giant Appraisals - Montana Real Estate Appraisal Co.,Sleeping Giant Appraisals,,72,137971,2026-05-30T01:21:35.634852536Z,"['Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon WAF Blocked', 'Astra Theme', 'Auth0', 'Beaver Builder Lite', 'Bing Cashback', 'Buffer', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Constant Contact', 'Content Delivery Network', 'Digital Ocean Spaces', 'DoubleClick Bid Manager', 'DuracellTomi Google Tag Manager for WordPress', 'EmbedPress', 'Facebook CDN', 'Font Awesome', 'Freshdesk Support', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Instagram Follow Button', 'LiteSpeed', 'Mautic', 'Microdata for Google Shopping', 'Microsoft Clarity', 'Ntent', 'PHP', 'PayPal Adaptive Payments', 'QUIC', 'RM Education', 'Salesforce Experience Cloud', 'Sitelinks Search Box', 'Square', 'The SEO Framework', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Way', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
nonprofitholdings.com,"Holdings — One Place for Your Money, Books & Tools | For Businesses & Nonprofits",,USA,82,10440,2026-05-29T06:01:08.138886525Z,"['501c3 Status Nonprofit', 'Alternate Protocol', 'Astro', 'Auth0', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DAV', 'DoubleClick Bid Manager', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Federal Deposit Insurance Corporation', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'LinkedIn Insights', 'LinkedIn Pixel', 'Microdata for Google Shopping', 'Microsoft Clarity', 'Perl', 'Plaid', 'QUIC', 'Sitelinks Search Box', 'Tailwind CSS', 'UTF-8', 'Vercel', 'YouTube', 'eLand', 'jsDelivr', 'shadcn ui']"
onering.net.au,One Ring Networks,,AUS,75,5500,2026-05-29T01:06:11.448025721Z,"['ArvanCloud', 'Auth0', 'Cloudflare', 'Content Delivery Network', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Netlify', 'Netlify Forms', 'Tailwind CSS', 'Thank You', 'UTF-8', 'Unsplash', 'WordPress', 'jsDelivr', 'shadcn ui']"
baptistforphysicians.com,For Healthcare Professionals | Baptist Health | Jacksonville,,USA,77,337294,2026-05-28T22:32:09.230578246Z,"['AJAX Libraries API', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Auth0', 'CDN JS', 'CallRail', 'Classy', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudinary', 'Contentstack', 'Corporate Governance and Regulatory Compliance', 'Double the Donation', 'DoubleClick Bid Manager', 'ElementUI', 'FormAssembly', 'Freshpaint', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Custom Search', 'Google Font API', 'Google Maps', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'LaunchDarkly', 'LiveAgent', 'Localize', 'Microsoft Ajax Content Delivery Network', 'Microsoft Azure', 'OneTrust Domain Verification', 'PWA', 'RM Education', 'Salesforce', 'Salesforce Experience Cloud', 'Salesforce Hosted', 'Salesforce Live Agent', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'Walls.io', 'YouTube', 'jQuery', 'jsDelivr']"
ignitionperspective.biz,Industrial Automation Software Solutions by Inductive Automation,Inductive Automation,USA,77,33289,2026-05-28T16:47:39.641363422Z,"['Adobe Creative Cloud WebFonts', 'Akamai Global Host', 'Amazon', 'Apture Linking Platform', 'Auth0', 'Bing Cashback', 'Bing Conversion Tracking', 'Canny', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'Datadog', 'Disqus Comment System for WordPress', 'DoubleClick Bid Manager', 'ElementUI', 'Font Awesome', 'GZIP Module', 'GetSiteControl', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Hubspot', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Mouseflow', 'Oribi Analytics', 'Pleroma', 'Python', 'Seflow Italy', 'Sentry', 'Storyblocks', 'Stripe', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'University or College', 'VigLink', 'Vimeo CDN', 'Wistia', 'YouTube', 'jsDelivr']"
