domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
buckmortgages.com,Buck Mortgage Solutions | Broker Marketplace,Buck Mortgage Solutions,,45,22403,2026-04-28T11:02:20.012899119Z,"['AWS WAF Challenge', 'Calendly', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Coming Soon Page', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'Fireblade', 'Google Cloud DNS', 'Google Font API', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nationwide Mortgage Licensing System and Registry', 'Neighborhoods', 'Next.js', 'Optimal Blue', 'Perl', 'Pleroma', 'QUIC', 'UTF-8']"
mortgagelife.ai,Home • Private Money Bancorp Inc.,Design 1 - Vonk Digital Mortgage Website,GBR,82,86335,2026-04-28T09:32:20.006278755Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Add to Any', 'Alternate Protocol', 'Better Lead Generation Services', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Cornerstone', 'Elfsight', 'EmbedPress', 'Express', 'Font Awesome', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google My Business', 'Google Tag Manager', 'Gravity Forms', 'Instagram Follow Button', 'Investor Relations', 'Microdata for Google Shopping', 'MonsterInsights', 'Nationwide Mortgage Licensing System and Registry', 'Nginx', 'Optimal Blue', 'PHP', 'Prospective', 'QUIC', 'Sitelinks Search Box', 'The Fresh', 'Theme In WP', 'Total', 'UTF-8', 'UserWay', 'WPBakery', 'WPForms', 'WordPress', 'WordPress Multisite', 'jQuery']"
ryanwalterteam.com,"Ryan Walter | Brookhollow Mortgage Services, LTD",,USA,70,346144,2026-04-28T05:35:17.743318728Z,"['Adobe Creative Cloud WebFonts', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'AppNexus Direct', 'Birdeye', 'Bulma', 'CDN JS', 'Calendly', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cornerstone', 'DoubleClick Bid Manager', 'ElementUI', 'Facebook Reseller', 'Fireblade', 'Font Awesome', 'Formstack', 'Fraud Blocker', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Microsoft Clarity', 'Nationwide Mortgage Licensing System and Registry', 'Optimal Blue', 'QUIC', 'Salesforce', 'Salesforce Experience Cloud', 'Salesforce Hosted', 'Salesforce Web to Lead', 'StackPath', 'Storyblocks', 'Tailwind CSS', 'UTF-8', 'Vimeo', 'Way', 'Yelp Badge', 'YouTube', 'jsDelivr', 'localendar', 'monday.com', 'reCAPTCHA']"
bluevellamortgage.com,Bluevella Mortgage,"Bluevella Mortgage, LLC.",USA,77,92283,2026-04-28T05:14:19.988209317Z,"['AdRoll', 'Agoda', 'Alternate Protocol', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Eventbrite', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'FormSubmit', 'GTranslate', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Customer Reviews', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Hello Elementor', 'Instagram Follow Button', 'Jetpack', 'Kitco', 'Line2', 'LiteSpeed', 'Microdata for Google Shopping', 'Microsoft Clarity', 'NFOrce Internet', 'Nationwide Mortgage Licensing System and Registry', 'Ntent', 'Optimal Blue', 'PHP', 'QUIC', 'QUIC.cloud', 'SMC', 'Sitelinks Search Box', 'Slider Revolution', 'Table Addons for Elementor', 'UTF-8', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'WordPress Stats', 'YouTube']"
udlmortgage.com,Mortgage Loan Programs & Low Rates | United Direct Lending,United Direct Lending,BRA,77,50429,2026-04-27T15:53:19.995495702Z,"['AWS WAF Challenge', 'Accordion Blocks', 'Alternate Protocol', 'Apache', 'Astra Theme', 'Better Lead Generation Services', 'Calendly', 'Cloudflare', 'Cloudflare CDN', 'Complianz', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Express', 'GZIP Module', 'Gambling Content', 'Google', 'Google My Business', 'Header, Footer and Blocks for Elementor', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nationwide Mortgage Licensing System and Registry', 'Optimal Blue', 'PHP', 'Royal Elementor Addons', 'Theme In WP', 'Tidio', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'YouTube', 'jQuery']"
markhensley.net,Mark Hensley | Cornerstone Home Lending,,USA,72,63034,2026-04-27T12:38:19.985846031Z,"['Adobe Creative Cloud WebFonts', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'AppNexus Direct', 'Birdeye', 'Bulma', 'CDN JS', 'Calendly', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cornerstone', 'DoubleClick Bid Manager', 'ElementUI', 'Facebook Reseller', 'Fancybox for WordPress', 'Federal Deposit Insurance Corporation', 'Fireblade', 'Font Awesome', 'Formstack', 'Fraud Blocker', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Microsoft Clarity', 'Nationwide Mortgage Licensing System and Registry', 'Optimal Blue', 'QUIC', 'StackPath', 'Storyblocks', 'Tailwind CSS', 'Vimeo', 'Way', 'Yelp Badge', 'YouTube', 'jsDelivr', 'localendar', 'monday.com']"
raycerobinson.com,Rayce Robinson | Florida Mortgage Broker | Mid Florida Mortgage Professionals,,USA,72,84590,2026-04-27T09:18:47.672613453Z,"['Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Elfsight', 'Endis', 'Fireblade', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'KVH', 'Nationwide Mortgage Licensing System and Registry', 'Nuxt.js', 'Optimal Blue', 'QUIC', 'UTF-8', 'UserWay', 'YouTube', 'shadcn ui']"
uniqlend.com,UniqLend – UniqLend,,USA,70,48206,2026-04-26T19:23:42.33978943Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DAV', 'EmbedPress', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Gutenberg Blocks by Kadence Blocks', 'Kadence WP', 'Nationwide Mortgage Licensing System and Registry', 'Nginx', 'Optimal Blue', 'PHP', 'Parallels Plesk Panel', 'QUIC', 'Smart Slider 3', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'eLand', 'jQuery']"
luisaguilarloans.com,Luis Aguilar | Velocio Mortgage,,,55,25319,2026-04-25T19:35:19.982319289Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'AppNexus Direct', 'Birdeye', 'CDN JS', 'Calendly', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cornerstone', 'DoubleClick Bid Manager', 'ElementUI', 'Facebook Reseller', 'Fireblade', 'Font Awesome', 'Formstack', 'Fraud Blocker', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Microsoft Clarity', 'Nationwide Mortgage Licensing System and Registry', 'Optimal Blue', 'QUIC', 'StackPath', 'Storyblocks', 'Tailwind CSS', 'Vimeo', 'Way', 'Yelp Badge', 'YouTube', 'jsDelivr', 'localendar', 'monday.com']"
hmkcllc.com,Custom Financing Solutions - HMKC Mortgage,HMKC Mortgage,USA,82,48565,2026-04-25T14:47:19.986544893Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Instagram Follow Button', 'Investor Relations', 'Max Mega Menu', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nationwide Mortgage Licensing System and Registry', 'Ntent', 'Optimal Blue', 'QUIC', 'Table Addons for Elementor', 'TrustIndex', 'Twenty Twenty-Three', 'UTF-8', 'WP Engine', 'WordPress', 'WordPress Multisite', 'jQuery']"
