domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
ridesharemechanic.com,Video Vehicle Inspection for Uber & Lyft in 15 mins | RideShare Mechanic,,USA,77,19979,2026-05-25T19:01:20.971641539Z,"['Alternate Protocol', 'Apache', 'Bing Cashback', 'Bing Conversion Tracking', 'CDN JS', 'Clicky', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'ElementUI', 'EmbedPress', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'FormSubmit', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Conversion Tracking', 'Google Customer Reviews', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Jetpack', 'LeadDyno', 'MailChimp', 'Microdata for Google Shopping', 'PHP', 'Pico CSS', 'QUIC', 'Site Kit', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'W3.CSS', 'Wangsu', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooCommerce Pixel Manager by woopt', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube', 'Zoho CRM', 'jQuery', 'reCAPTCHA']"
ballenmedical.com,"Ketamine Therapy Center, Ketamine Mental Health Treatment Clinic and Ketamine Infusion Treatment Denver CO - Ballen Medical & Wellness - Ketamine Therapy in Denver",,USA,77,50864,2026-05-25T13:44:29.239722355Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Amazon', 'Amazon CloudFront', 'CallRail', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'CrazyEgg', 'Flow', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Perl', 'Sitelinks Search Box', 'Tailwind CSS', 'UTF-8', 'University or College', 'WF Cookie Consent', 'Zoho CRM', 'jsDelivr']"
tradesmarter.com,"White Label Trading Platform | Turnkey FX, CFD, Crypto & Prop Trading Solutions | Tradesmarter",Tradesmarter,SGP,87,17755,2026-05-25T13:44:29.207617185Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Alternate Protocol', 'Angular', 'Content Delivery Network', 'Corporate Governance and Regulatory Compliance', 'FormSubmit', 'Google Analytics', 'Google Cloud DNS', 'Google Conversion Tracking', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Heroku', 'Microdata for Google Shopping', 'Nginx', 'No-Q', 'Perl', 'Tailwind CSS', 'Tawk', 'TradingView', 'Twitter Ads', 'UTF-8', 'W3.CSS', 'YouTube', 'Zoho CRM', 'jQuery', 'jsDelivr']"
xlfencing.com,South Florida Fence Contractor | XL Fencing | Broward & Palm Beach County,,USA,77,23850,2026-05-25T00:19:17.665793338Z,"['AWS WAF Challenge', 'Astro', 'Better Lead Generation Services', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Facebook Reseller', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Customer Reviews', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'PWA', 'Perl', 'Town Web', 'Zoho CRM', 'reCAPTCHA']"
shadowghostwriter.com,Shadow Ghostwriter | Professional Book Writing & Ghostwriting Services USA,,USA,82,24353,2026-05-24T20:41:19.970305619Z,"['AWS WAF Challenge', 'Amazon WAF Blocked', 'Amazon Widgets', 'Better Lead Generation Services', 'Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Fastly', 'Font Awesome', 'FormSubmit', 'Gambling Content', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'Sitejabber', 'Tailwind CSS', 'Tawk', 'Thank You', 'Twitter Ads', 'UTF-8', 'Zendesk Guide', 'Zoho CRM', 'jQuery', 'jsDelivr']"
fortgroup.ae,Full-Cycle Engineering Bureau | FORT,,,62,31970,2026-05-24T18:10:51.260541949Z,"['AWS WAF Challenge', 'Baidu Cloud', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'DDoS-GUARD', 'ElementUI', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Perl', 'Tilda', 'UTF-8', 'Vector Internet Services', 'Yandex Hosting', 'Zoho CRM']"
seasideconsultants.com,Timeshare Cancellation Encinitas CA - San Diego County Timeshare Exit Company - Seaside Consultants Group,Seaside Consultants Group,FRA,82,48157,2026-05-24T17:12:20.392535593Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Autoptimize', 'CallRail', 'Content Delivery Network', 'DAV', 'EmbedPress', 'Fireblade', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Line2', 'Microdata for Google Shopping', 'Ntent', 'QUIC', 'Sitelinks Search Box', 'Sucuri Cloudproxy', 'Tailwind CSS', 'Thank You', 'Twitter Ads', 'UTF-8', 'WPBakery', 'Wangsu', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'Yelp Badge', 'Zoho CRM']"
intelitek.com,Home - Intelitek,Intelitek,CAN,70,15588,2026-05-24T16:12:28.922372601Z,"['Alternate Protocol', 'EWWW Image Optimizer', 'Elementor', 'Elementor Custom Skin', 'EmbedPress', 'Fastly', 'Font Awesome', 'FormSubmit', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Kitco', 'LinkedIn Insights', 'LinkedIn Pixel', 'Microdata for Google Shopping', 'NFOrce Internet', 'Newsletter for Wordpress', 'Nginx', 'OceanWP', 'PHP', 'Perl', 'Premium Addons for Elementor', 'QUIC', 'Site Kit', 'Slider Revolution', 'Tailwind CSS', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'University or College', 'WP Mobile Menu', 'WPForms', 'Woo Themes', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'YouTube', 'Zoho CRM', 'jQuery', 'reCAPTCHA']"
clearforkacademy.com,Youth Mental Health Academy in Texas | Clearfork Academy,Clearfork Academy,USA,82,42277,2026-05-24T06:23:57.264101297Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Apture Linking Platform', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DAV', 'Elementor', 'EmbedPress', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'Font Awesome', 'FormSubmit', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Hello Elementor', 'Instagram Follow Button', 'LegitScript', 'Microdata for Google Shopping', 'NFOrce Internet', 'NitroPack', 'PHP', 'QUIC', 'Thank You', 'Twitter Ads', 'UTF-8', 'University or College', 'WP Engine', 'WordPress', 'WordPress Multisite', 'YouTube', 'Zoho CRM', 'reCAPTCHA']"
claimense.com,Claimence – AI-Powered Coverage Analysis,,USA,72,9407,2026-05-23T18:59:19.975131663Z,"['Alternate Protocol', 'Automattic', 'BatCache', 'Content Delivery Network', 'Cybot', 'Elementor', 'EmbedPress', 'Fastly', 'Fontello', 'FormSubmit', 'Google My Business', 'Google Tag Manager', 'Jetpack', 'Jetpack Site Accelerator', 'LiteSpeed', 'NFOrce Internet', 'Nginx', 'PHP', 'Table Addons for Elementor', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube', 'Zoho CRM', 'accessiBe', 'eLand', 'jQuery', 'reCAPTCHA']"
