domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
theyardventures.com,The Yard Ventures’ Fund and Syndicate - Alumni Ventures,,USA,72,372580,2026-02-21T17:59:01.539518081Z,"['AI Log', 'AWS WAF Challenge', 'Apture Linking Platform', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Content Delivery Network', 'Conversica', 'Crypto.com', 'DAV', 'Ethy', 'Express', 'Financial Industry Regulatory Authority', 'Fireblade', 'Google Analytics', 'Google Tag Manager', 'Greenhouse', 'Harbor', 'HubSpot Conversations', 'Hubspot', 'Imgix', 'InitiativeS', 'Inside', 'Instagram Follow Button', 'Interchange', 'Investor Relations', 'Jebbit', 'Luma Health', 'Medium', 'NFOrce Internet', 'Next.js', 'Onyx Internet', 'Oracle Cloud', 'Pleroma', 'Prospective', 'QUIC', 'Salesforce Hosted', 'Sidecar', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'University or College', 'Vultr', 'YouTube']"
shanefoster.design,"Portfolio of Product Designer, Shane Foster.",,,77,13840,2026-02-06T13:49:30.426590067Z,"['Alternate Protocol', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Fastly', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Jekyll', 'Luma Health', 'UTF-8']"
eyeconsultantsofmich.com,Cataract and Eye Consultants of Michigan,,USA,70,28513,2026-01-23T16:01:43.465073478Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Aruba', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'HubSpot Conversations', 'Hubspot', 'Instagram Follow Button', 'Line2', 'Luma Health', 'Microdata for Google Shopping', 'QUIC', 'Squarespace', 'UTF-8', 'Vector Internet Services', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
parksidefamilymedicine.com,Parkside Family Medicine | Spartanburg & Greenville Primary Care,,ZAF,72,20736,2026-01-15T09:28:59.988029645Z,"['AJAX Libraries API', 'Adobe Creative Cloud WebFonts', 'Amazon', 'Amazon CloudFront', 'CM Commerce', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Luma Health', 'Oddle', 'QUIC', 'Tailwind CSS', 'Vector Internet Services', 'WF Cookie Consent']"
retinaandmaculaconsultants.com,Eye Care Services | Southwest Florida | 941-739-0390,,USA,72,32384,2026-01-14T02:55:09.260998819Z,"['Alternate Protocol', 'Amazon CloudFront', 'CloudFront', 'DAV', 'Duda', 'Elfsight', 'FormSubmit', 'GZIP Module', 'Google My Business', 'Google Related Website Sites', 'KVH', 'Luma Health', 'Microdata for Google Shopping', 'Nginx', 'Tailwind CSS', 'Thank You', 'UTF-8', 'Vimeo', 'Yellow Pages Canada', 'Yelp Badge']"
brioprimarycare.com,"Brio Primary Care – Greenville, SC",,,67,27987,2026-01-09T14:30:11.253987226Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Content Delivery Network', 'Endis', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'GitHub Hosting', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Luma Health', 'QUIC', 'Tailwind CSS', 'WF Cookie Consent', 'jsDelivr']"
centerfornp.com,Beal Wellness - Psychiatrist Atlanta Georgia | mental health clinic,Beal Wellness,USA,77,166723,2025-12-13T00:44:39.908497332Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Coming Soon Page', 'Content Delivery Network', 'CoolText', 'Endis', 'Express', 'Fastly', 'Fastly CDN', 'Fireblade', 'FormSubmit', 'GZIP Module', 'Google My Business', 'Google Related Website Sites', 'Instagram Follow Button', 'K2F', 'Luma Health', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'Pico CSS', 'QUIC', 'SMC', 'SiteW', 'Sitelinks Search Box', 'Subversion', 'UTF-8', 'University or College', 'Vector Internet Services', 'Wix', 'Wix Media', 'eLand', 'mlcom']"
tdorthopedics.com,"Taylor Dunphy, MD","Taylor Dunphy, MD",GBR,77,53032,2025-11-30T09:06:46.366841453Z,"['Alternate Protocol', 'Contento', 'GoDaddy', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Harbor', 'Line2', 'Luma Health', 'Microdata for Google Shopping', 'PWA', 'QUIC', 'UTF-8', 'University or College', 'Wangsu', 'Website Tonight']"
sjhealth.org,SJ Health – Building a Healthier Community,,USA,65,27252,2025-11-24T16:30:19.431062386Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'Corporate Governance and Regulatory Compliance', 'DAV', 'EmbedPress', 'EventOn', 'Font Awesome', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google Tag Manager', 'Gtranslate for Wordpress', 'Luma Health', 'PHP', 'Perl', 'Smart Slider 3', 'TermsFeed', 'Theme In WP', 'UTF-8', 'WP Engine', 'WordPress', 'WordPress Multisite', 'accessiBe', 'eLand', 'jQuery']"
exceleyecenter.com,Utah Eye Center | Cosmetic Surgery | Vision Center Near You,,ZAF,77,14000,2025-11-24T12:48:19.429163438Z,"['Alternate Protocol', 'Content Delivery Network', 'CrazyEgg', 'DAV', 'EmbedPress', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Lazy Load for WordPress', 'Luma Health', 'Max Mega Menu', 'Max Mega Menu Pro', 'Microdata for Google Shopping', 'Nginx', 'Ninja Forms', 'PHP', 'Popup Maker for Wordpress', 'QUIC', 'Schema Plugin', 'Storyblocks', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'reCAPTCHA']"
