domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
ras-consulting.com,RAS Consulting Services,,,55,114487,2026-04-26T02:47:30.591337868Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apache', 'Automattic', 'Docebo', 'Elementor', 'EmbedPress', 'Fireblade', 'Font Awesome', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Hello Elementor', 'Jetpack', 'Metform Elemento', 'NetDocuments', 'Norton Site Seal', 'PHP', 'QUIC', 'SMC', 'Saba', 'Tailwind CSS', 'Theme In WP', 'Thomson Reuters Corporate Solutions', 'UTF-8', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'jQuery']"
rankscale.de,Rankscale - Track and Deeply Analyze Visibility in AI Search Engines,Rankscale,AUT,77,700946,2026-04-20T20:29:19.992684284Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Apture Linking Platform', 'Azion', 'Bitrix24', 'Canny', 'Canva Websites', 'ClickUp', 'CoStar', 'Content Delivery Network', 'Cvent', 'Docebo', 'EducationDynamics', 'Enhancv', 'Express', 'Fastly', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Next.js', 'Pleroma', 'QUIC', 'RSVPify', 'Rush', 'Semrush', 'Sharetribe', 'Show.co', 'SiteGround Optimizer', 'SurveySparrow', 'Synthesia', 'Tailwind CSS', 'The Hut Group', 'Tipalti', 'Turn', 'UTF-8', 'UserGuiding', 'WordLift', 'YouTube', 'shadcn ui', 'uptain']"
gaetano.design,Gaetano Scognamiglio,,,42,31920,2026-04-18T15:11:19.988107277Z,"['Alternate Protocol', 'Docebo', 'Framer Sites', 'Google', 'Google Cloud CDN', 'KVH', 'Ntent', 'Yandex Hosting', 'Zeald']"
bootstrapperweekly.com,Bootstrapper Weekly | The Indie Hacker's Digest,,,57,46148,2026-04-18T09:32:19.989940904Z,"['Apture Linking Platform', 'Better Lead Generation Services', 'Cloudflare', 'Content Delivery Network', 'Docebo', 'Drata', 'Expensify', 'Instapage', 'Next.js', 'PagerDuty', 'Python', 'QUIC', 'Sage Intacct', 'Tailwind CSS', 'UTF-8', 'Vector Internet Services', 'Vercel', 'shadcn ui']"
hey-zell.com,Howdy! | Andrew Zell,,USA,67,46040,2026-04-10T08:26:19.986798318Z,"['AJAX Libraries API', 'Amazon', 'Amazon CloudFront', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'Docebo', 'Express', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Tailwind CSS', 'UTF-8', 'WF Cookie Consent', 'reCAPTCHA']"
stonemountaincity.org,"Welcome to City of Stone Mountain, GA",,,60,30493,2026-04-05T21:14:19.978246074Z,"['AJAX Libraries API', 'AddThis', 'AddThis for Wordpress', 'Adult Content', 'Docebo', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'K2F', 'QUIC', 'Twitter Ads', 'UTF-8', 'UserWay', 'WordPress', 'jQuery']"
vittorionardone.it,Vittorio Nardone — Fractional CTO & Software Strategy,,GBR,77,40240,2026-04-05T09:17:20.016760326Z,"['Astro', 'Content Delivery Network', 'Docebo', 'GitHub Hosting', 'Medium', 'Microdata for Google Shopping', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Vercel', 'YouTube', 'shadcn ui']"
multi-programming.com,"Software Development Company - Outsourcing Team in UK, USA | Multi-Programming Solutions",Multi-Programming Solutions,GBR,77,75945,2026-03-25T05:02:34.627988703Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Angular', 'Apache', 'Cloudflare', 'Clutch', 'Coming Soon Page', 'Docebo', 'GZIP Module', 'Gambling Content', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'PWA', 'Perl', 'Python', 'QUIC', 'Shipping Rates Calculator', 'Tailwind CSS', 'TalentLMS', 'UTF-8', 'University or College', 'Zend Server', 'symfony PHP Framework']"
kamconsultinginc.com,KAM Consulting,,CAN,65,55388,2026-03-05T20:26:56.252896601Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Apache', 'Corporate Governance and Regulatory Compliance', 'Docebo', 'ElementUI', 'Font Awesome', 'Formspree', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'University or College', 'jQuery']"
countpowersbi.com,The only collaborative agentic analytics platform | Count,Count Technologies Ltd.,,77,73428,2026-03-05T15:18:38.996821242Z,"['501c3 Status Nonprofit', 'AWS WAF Challenge', 'Alternate Protocol', 'Content Delivery Network', 'Docebo', 'GoGrid', 'Google Analytics', 'Google Tag Manager', 'JumpCloud', 'Microdata for Google Shopping', 'Next.js', 'PWA', 'Perl', 'QUIC', 'Sanity', 'Sitelinks Search Box', 'Twitter Ads', 'UTF-8', 'Vercel', 'Verse.io', 'YouTube']"
wayaheadtech.com,Digital Transformation | Wayahead Technology | United States,Wayahead Technology,USA,77,142588,2025-12-24T03:04:38.331159352Z,"['ADTECH', 'AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Docebo', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'SiteW', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'mlcom']"
nextstepbrandstrategy.com,Expert Leadership Coaching for Business Growth,,,77,108312,2025-12-03T01:55:51.280079893Z,"['D2L', 'Docebo', 'GoDaddy', 'Google', 'Google Cloud DNS', 'Google Font API', 'InitiativeS', 'Line2', 'PWA', 'UTF-8', 'Wangsu', 'Website Tonight']"
uprankd.com,Premium SEO & Digital Growth Agency | Uprankd - Scalable Strategies for Mid & Large Companies,,LVA,77,444548,2025-11-27T16:34:39.297327978Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'Better Lead Generation Services', 'Canny', 'Docebo', 'Dynamic Yield', 'Express', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Highspot', 'InitiativeS', 'Instagram Follow Button', 'KVH', 'Next.js', 'Nginx', 'Perl', 'Pleroma', 'QUIC', 'Qualtrics Site Intercept', 'Salesforce', 'Salesforce Experience Cloud', 'Salesforce Hosted', 'Shopify', 'Tailwind CSS', 'UTF-8']"
