domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
moderngovernancesummit.co.uk,Modern Governance Summit 2023 | Diligent,,CAN,77,57588,2026-02-01T01:58:48.874960759Z,"['AJAX Libraries API', 'Alternate Protocol', 'Bug Bounty', 'Content Delivery Network', 'Corporate Governance and Regulatory Compliance', 'DAV', 'Fastly', 'Google Analytics', 'Google Cloud DNS', 'Google Related Website Sites', 'Google Tag Manager', 'Highspot', 'Marketo', 'Microdata for Google Shopping', 'Netlify', 'PHP', 'Telegram', 'Twitter Ads', 'UTF-8', 'University or College', 'Vector Internet Services', 'YouTube']"
biznatron.com,Biznatron – B2B Lead Generation & Appointment Setting,,USA,77,361772,2026-01-30T22:49:48.877683914Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apollo IO', 'Better Lead Generation Services', 'Bound', 'Calendly', 'Clutch', 'Dialpad', 'Elementor', 'EmbedPress', 'Freshworks CRM', 'Google My Business', 'Highspot', 'Instagram Follow Button', 'Instantly', 'LiteSpeed', 'Lusha', 'NFOrce Internet', 'PHP', 'Phlox', 'SalesLoft', 'Salesforce', 'Salesforce Experience Cloud', 'Salesforce Hosted', 'SendGrid Widget', 'Slack', 'Theme In WP', 'Vector Internet Services', 'WP Ulike', 'WordPress', 'WordPress Multisite', 'Zoom Video Conferencing', 'eLand', 'jQuery']"
clarehegg.com,"Clare Hegg – Corporate Strategy Executive focused on organizational transformation, customer experience, and market intelligence",,,77,37247,2026-01-25T16:16:18.46784059Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Automattic', 'Better Lead Generation Services', 'EmbedPress', 'GDPR Consent Management Platform', 'Highspot', 'InitiativeS', 'Jetpack', 'Jetpack Site Accelerator', 'Nginx', 'Oracle Cloud', 'Perl', 'Tailwind CSS', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube']"
addium.io,Growing knowledge from data | Addium,,USA,77,27290,2026-01-25T07:45:00.841632972Z,"['Content Delivery Network', 'Digital Ocean Spaces', 'Fastly', 'Highspot', 'No-Q', 'UTF-8', 'Vector Internet Services']"
hitvaluemodel.com,Health IT Value Model | Netsmart,"Netsmart Technologies, Inc,",,77,402980,2026-01-23T08:49:22.710291883Z,"['501c3 Status Nonprofit', 'AWS WAF Challenge', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Apture Linking Platform', 'Bulma', 'CloudFront', 'DoubleClick Bid Manager', 'Drift', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Highspot', 'Instagram Follow Button', 'LinkedIn Pixel', 'Marketo', 'Microdata for Google Shopping', 'Microsoft Azure', 'RambleChat', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Visual Studio', 'Wistia', 'Workday', 'YouTube', 'securiti', 'shadcn ui']"
lafronteraempact.com,Open Enrollment Resource Center,,,70,94448,2026-01-21T01:54:36.754687706Z,"['AWS WAF Challenge', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Brainshark', 'Content Delivery Network', 'Express', 'Fastly', 'Fastly CDN', 'Highspot', 'Microdata for Google Shopping', 'PWA', 'QUIC', 'Thrive Direct', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'eLand', 'mlcom']"
shasta.vc,Shasta Ventures,,,52,15519,2026-01-13T21:25:32.937502465Z,"['Amazon S3 CDN', 'Canva Websites', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Fastly', 'Google', 'Google Cloud DNS', 'Google Font API', 'Highspot', 'Hubspot Knowledge Base', 'Medium', 'Storyblocks', 'Twitter Ads', 'UTF-8', 'University or College', 'Vimeo']"
trophon.com,"At Nanosonics, infection prevention for life isn’t just a tagline, it’s personal. | Nanosonics",,AUS,60,95436,2026-01-04T11:15:34.017352368Z,"['501c3 Status Nonprofit', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Corporate Governance and Regulatory Compliance', 'DoubleClick Bid Manager', 'ElementUI', 'Facebook Reseller', 'Fireblade', 'Fonts.com', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Highspot', 'LinkedIn Pixel', 'LottieFiles', 'New Relic', 'ON24', 'Pardot', 'RM Education', 'Salesforce', 'Salesforce Experience Cloud', 'Salesforce Hosted', 'Tailwind CSS', 'Twitter Ads', 'UK Cookie Consent', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'YouTube', 'eLand', 'jQuery', 'jsDelivr', 'shadcn ui']"
luv-ita.com,Home,,,55,15322,2025-12-31T16:04:29.836300136Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Amazon', 'Amazon CloudFront', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Highspot', 'Microsoft Authentication Library for JavaScript', 'NFOrce Internet', 'Tailwind CSS', 'Vimeo', 'WF Cookie Consent', 'jsDelivr']"
myrtlebeachtools.com,Coldwell Banker Sea Coast Advantage Myrtle Beach,,USA,70,131328,2025-12-31T12:52:27.981491218Z,"['Auth0', 'Better Lead Generation Services', 'Boomtown ROI', 'DAV', 'Fireblade', 'GoDaddy', 'Google', 'Google Cloud DNS', 'Google Font API', 'Highspot', 'Instagram Follow Button', 'Investor Relations', 'KVH', 'Kaltura', 'Line2', 'PHP', 'PWA', 'Prospective', 'QUIC', 'TeamUp', 'Testimonial Tree', 'UTF-8', 'Wangsu', 'Website Tonight', 'YouTube']"
clairemansfield.com,Claire Mansfield,,USA,67,97973,2025-12-30T02:34:38.324640431Z,"['Adobe Creative Cloud WebFonts', 'Aruba', 'Express', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Highspot', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
horizonhealthbenefits.com,Open Enrollment Resource Center,,,60,35396,2025-12-29T14:58:38.331328337Z,"['AWS WAF Challenge', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Brainshark', 'Content Delivery Network', 'Express', 'Fastly', 'Fastly CDN', 'Highspot', 'Microdata for Google Shopping', 'PWA', 'QUIC', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'mlcom']"
openskiesbenefits.com,Open Enrollment Resource Center,,,60,35396,2025-12-28T19:49:38.337181896Z,"['AWS WAF Challenge', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Brainshark', 'Content Delivery Network', 'Express', 'Fastly', 'Fastly CDN', 'Highspot', 'Microdata for Google Shopping', 'PWA', 'QUIC', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'mlcom']"
spectrumhealthcarebenefits.com,Open Enrollment Resource Center,,,60,35396,2025-12-26T07:52:38.350746978Z,"['AWS WAF Challenge', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Brainshark', 'Content Delivery Network', 'Express', 'Fastly', 'Fastly CDN', 'Highspot', 'Microdata for Google Shopping', 'PWA', 'QUIC', 'UTF-8', 'Vector Internet Services', 'Vimeo', 'Wix', 'Wix Media', 'mlcom']"
southwestnetworkbenefits.com,Open Enrollment Resource Center,,,60,42896,2025-12-25T11:02:10.322915117Z,"['AWS WAF Challenge', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Brainshark', 'Content Delivery Network', 'Express', 'Fastly', 'Fastly CDN', 'Fireblade', 'Highspot', 'Microdata for Google Shopping', 'PWA', 'QUIC', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'mlcom']"
orbisreach.com,Nexum Automations | AI Agents & Business Automation,Nexum Automations,,82,342539,2025-12-21T19:01:33.866523042Z,"['AWS WAF Challenge', 'Adult Content', 'Alternate Protocol', 'Amazon CloudFront', 'Apture Linking Platform', 'Better Lead Generation Services', 'CloudFront', 'Content Delivery Network', 'Cornerstone', 'Express', 'Fireblade', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Customer Reviews', 'Google Font API', 'Google Tag Manager', 'Highspot', 'InitiativeS', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'Next.js', 'Perl', 'Pipefy', 'QUIC', 'Salesforce', 'Salesforce Experience Cloud', 'Salesforce Hosted', 'Sitelinks Search Box', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Underscores', 'Vercel', 'YouTube', 'monday.com', 'shadcn ui']"
ulanetwork.com,ULA Network - Union Labor Advisory Network,,USA,72,55200,2025-12-21T10:07:32.743004133Z,"['Amazon', 'Angular', 'App Store', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Elfsight', 'Fastly', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Highspot', 'Hubspot Knowledge Base', 'Instagram Follow Button', 'KVH', 'UTF-8', 'YouTube', 'jsDelivr']"
saastreuropa2022.com,SaaStr Europa 2022,,BLR,75,298217,2025-12-21T04:28:39.241954444Z,"['Adobe Creative Cloud WebFonts', 'Adult Content', 'Alternate Protocol', 'Aruba', 'Asana', 'Constant Contact', 'Corporate Governance and Regulatory Compliance', 'DAV', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Gainsight', 'Google Analytics', 'Google Tag Manager', 'Highspot', 'Intercom', 'KVH', 'LeaseWeb', 'Line2', 'Marketo', 'Microdata for Google Shopping', 'Monster', 'Notion', 'OptinMonster', 'ProfitWell', 'QUIC', 'SalesLoft', 'Salesforce Hosted', 'Scully', 'SiteW', 'Squarespace', 'Twitter Ads', 'Twitter Analytics', 'UTF-8', 'WordPress', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'Zendesk Embeddables', 'eLand']"
